¿Qué es la calabaza?;Fruta;Vegetal;Proteína;Vehículo;
¿Qué película de Disney fue prohibida en Dinamarca?;La danza del Esqueleto;Hocus Pocus;Bambi;Matilda;
¿En qué festividad se venden más caramelos?;Halloween;San valentín;4 de Julio;Día de la fuerza;
¿Qué estado de los EE. UU. produce la mayor cantidad de calabazas?;Illinois;Florida;California;Alaska;
¿Cuál era el nombre original del maíz dulce?;Alimento para pollos;Excremento de cabra;Palomitas;Espantapájaros;
¿Quién escribió la novela de terror Frankenstein?;Mary Shelly;George R.R. Martin;J.R.R. Tolkien;Tim Burton;
¿Cómo se llamaba el monstruo que creó Frankenstein?;Sin nombre;Igor;Frankenstein Jr.;Shrek;
¿Puedes nombrar los colores del maíz dulce de arriba a abajo?;Blanco, Amarillo y Naranja;Amarillo, Naranja y Morado;Negro, Naranja y Morado;Rojo, Blanco y Negro;
En la franquicia ¿cuál es el segundo nombre de Michael Myers?;Audry;Candy;Dolores;Sabrina;
¿Cuál fue la película que convenció a los estadounidenses de tirar sus Ouijas?;El Exorcista;Candyman;Matilda;Pulp Fiction;
¿Cuántos dulces le da el hogar promedio a cada persona que pide dulces en Halloween?;2;6;1;3;
¿En qué obra de Shakespeare tres brujas dicen: Doble, doble, trabajo y problemas?;Macbeth;Hamblet;Romeo y Julieta;Encanto;
¿En qué año se estrenó la película El Jovencito Frankenstein?;1974;1969;1980;1920;
¿En qué país se originó Halloween?;Irlanda;Estados Unidos;Escocia;Canadá;
¿Cómo se llama el enmascarado que grita en Scream?;Ghostface;Casperface;La Monja;Oreo;
¿Cómo se llamaba el compañero de Drácula?;Renfield;Toby;Hank;Sancho Panza;
¿Dónde establecieron su cuartel general los Cazafantasmas?;Estación de bomberos;Comisaría;Radio;Sótano;
¿Quién es la diosa de las brujas en la mitología griega?;Hecate;Yogurt;Pikachu;Tecate;
¿Qué significa el nombre Drácula?;Hijo del diablo;Rey Dragón;Maestro Dragón;Doctor Acula;
¿Cómo se llama el miedo al miedo?;Fobofobia;Miedofobia;Fofobia;Fophobia;
¿Cuál era el verdadero nombre de Drácula?;Vlad el Empalador;Arcudios Impa;Gor el Inmortal;Frank Murphy;
¿Cómo se llama el miedo a las palabras largas?;Hipopotomonstrosesquipedaliofobia;Hallofobia;Fofobia;Verbumfobia;
¿Qué fobia significa que tienes un miedo intenso a Halloween?;Samhainofobia;Hippopomonstrosedaliophobia;Calabazafobia;Caramelofobia;
Si te miras en un espejo a medianoche en Halloween ¿qué verás?;Futuro marido o mujer;Candyman;Drácula;Tu verdadero yo;
¿En qué país se encuentra la región de Transilvania?;Rumanía;Estados Unidos;Castlevania;Chile;
¿Quién dirigió Pesadilla antes de Navidad?;Henry Selick;Tim Burton;Steven Spielberg;Robert Zemeckis;
Las calabazas pueden ser naranjas, blancas, verdes ¿Y de qué otro color?;Azul;Morado;Marrón;Negro;
¿En qué estado de EE. UU. es ilegal vestirse como una monja o un sacerdote para Halloween?;Alabama;California;Florida;Puerto Rico;
¿Cuál es el primer nombre del Dr. Frankenstein?;Victor;Mario;Igor;Doctor;
¿Qué famoso murió el 31 de octubre de 1926?;Harry Houdini;Thomas Ince;Drácula;Frankestein;
¿Cuál fue la primera película que mostró un inodoro en la pantalla?;Psycho;La ventana indiscreta;Mentiras Arriesgadas;Shrek;
¿Cuál es el dulce mega popular de Halloween que lleva el nombre de un caballo?;Snickers;Hot Tamales;Skittles;M&Ms;
¿En qué cuento de hadas de los hermanos Grimm podemos encontrar a una bruja con una casa hecha de pan de jengibre?;Hansel y Gretel;Bonnie And Clyde;Matilda;Mentiras Arriesgadas;
¿Cómo se llama la Institución mental que sirve de escenario a Outlast?;Mount Massive;Beacon Psychiatric Hospital;Hospital Brookhaven;Theme Hospital;
¿Cuál es el nombre de la estación espacial que debemos explorar en Alien:Isolation?;Sevastopol;Nostromo;Wyland;Yutani;
Bethesda bautizó The Evil Within con otro nombre en Japón ¿Sabes cuál?;Psycho Break;Madness Within;Inner Darkness;Inner Evil;
¿Cómo se llama la protagonista de Eternal Darkness: Sanity's Requiem?;Alexandra;Laurie;Alice;Nancy;
¿Qué profesión ejerce Alan Wake?;Escritor;Periodista;Fotógrafo;Detective;
¿Cómo se llaman los protagonistas que puedes elegir en el clásico Alone in the Dark?;Edward Carnby y Emily Hartwood;Joe Hill y Jeremy Hartwood;Emily Hearsthone y Jullian Colleman;Edward Cullen y Elaine Marley;
DayZ comenzó siendo un mod para otro título, ¿Cuál?;Arma 2;7 Days to die;GTA V;Counter Strike;
¿Cómo se llama el equipo de fuerzas especiales protagonista del primer Resident Evil?;Alpha;Beta;Apollo;Bravo;
¿Qué significan las siglas F.E.A.R.?;First Encounter Assault Recon;First Encounter Action Response;First Encounter Action Recon;First Enemy Accident Rescue;
¿Quién muere un 31 de Octubre en el Universo de Harry Potter?;James y Lily Potter;Voldemort;Sirius Black;Dobby, el elfo doméstico;
En Dead by Daylight ¿Cuál de estas es una habilidad personal de Ghost Face (Danny Johnson)?;Soy todo oídos;Anatomía Superior;Ruina;Recuérdame;
¿Qué tienes que decirle a la Ouija en Phasmophobia al terminar de hablar con el fantasma para que no se rompa?;Adiós;Nos vemos;Terminé;Muerte;
¿En la piel de cuantos personajes podemos meternos en Until Down sin contar la introducción?;8;1;4;6;
¿Cómo se llama el enemigo de Back 4 Blood que emite un chillido y alerta a la horda?;Delator;Chillón;Gritón;Ruidoso;
¿En que años se desarrolla Amnesia: The Dark Descent?;1839;1840;1939;1873;
The Dark Pictures Anthology es desarrollado por:;Supermassive Games ;Frictional Games;Red Barrels;Protocol Games;
¿Cómo se llama el protagonista de Dying Light?;Kyle Crane;Aiden Caldwell;Hakon;Gordon Freeman;
¿A qué clase de enemigos tienes que enfrentarte en Left4Dead?;A Infectados;A Arañas;A Orcos;A Babosas;
¿Quién compuso la Banda Sonora de Silent Hill?;Akira Yamaoka;Nobuo Uematsu;Howard Shore;Masafumi Takada;
¿En el interior de donde se desarrolla la historia de Dead Space?;En una nave espacial;En un bosque;En un Psiquiátrico;En otra Galaxia muy lejana;
En los Televisores de Poppy Playtime podemos reproducir videos con;Cinta VHS;Disco BlueRay;Disquete;Memoría USB;
¿Cómo se llama la protagonista de Clock Tower 3?;Alyssa Hamilton;Alyssa Hale;Ashley Tate;Jennifer Simpson;
¿Cuál de los siguientes seres/personajes no te asusta en Dixper?;Pikachu;Osito;Hellow Kitty;Yoshi;
¿A qué colección pertenece la skill del Cocodrilo muerde la pantalla?;Jump Scares;Halloween;Phasmophobia;Terror 2022;
¿Qué enemigo agarra bloques en Minecraft?;Enderman;Slenderman;Abeja;Zombi;
¿Qué juego de terror es el más jugado utilizando Dixper actualmente?;Phasmophobia;Dead By Daylight;Resident Evil;Back 4 Blood;
¿Qué perturba a Mike durante las noches de guardia en Five Nights at Freddy's?;Animatrónicos;Peluches;Osos;Alienígenas;
¿A qué enemigos se enfrenta Regina en la isla Ibis?;Dinosaurios;Monstruos;Zombis;Fantasmas;
¿Cuál es la profesión del protagonista de Layers of Fear?;Pintor;Pianista;Psiquiatra;Doctor;
¿Qué agente del FBI forma parte del Equipo de Investigación y Supresión Mitocondrial?;Aya Brea;Chris Redfield;Sebastián Castellanos;Cybil bennet;
¿Cómo se llama el comerciante que te vende en Resident Evil 8?;Duque;Buhonero;Oaka XXIII;Karla;
¿Cómo se llama el científico caballero protagonista de Don't Starve?;Willson;Willow;Wolfgang;Wilbur;
¿Que conduce Deacon para explorar el mundo post-apocaliptico de Days Gone?;Una Moto;Un Buggy;Un Coche;Un tractor;
¿Dónde transcurre Control?;En Nueva York;En Los Angeles;En Chicago;En San Diego;
¿En qué Mansión se adentra Miku para buscar a su amigo desaparecido en Project Zero?;Mansión Himuro;Mansión Baldwin;Mansión Spencer;Mansión Winchester;